# 
# 
# EIS/Hinode Spectrum for eis_l1_20130708_002042
# px = 3
# py = 55
# ref wave = 202.044
# 
# wavelengths - Angstrom
# counts - intensities in counts
# ints_pre - erg/cm^2/s/sr/A from pre-flight calibration
# ints_nrl - erg/cm^2/s/sr/A from NRL in-flight calibration
# 
# missing data = -100.                                                             
# 
# TIME STAMP = Thu Feb 11 06:59:47 2016
# WARNING: Spectrum generated with beta software
# 
#     WAVE        COUNTS         ERROR      INTS_PRE       ERR_PRE      INTS_NRL       ERR_NRL
# Start Window 1
   167.100     8.980e+00     2.997e+00     6.845e+04     2.284e+04     8.874e+04     2.961e+04
   167.122     7.545e+00     2.747e+00     5.754e+04     2.095e+04     7.424e+04     2.703e+04
   167.145     5.682e+00     2.384e+00     4.334e+04     1.818e+04     5.566e+04     2.335e+04
   167.167     9.811e+00     3.132e+00     7.488e+04     2.391e+04     9.568e+04     3.055e+04
   167.189     6.028e+00     2.455e+00     4.603e+04     1.875e+04     5.853e+04     2.384e+04
   167.212     7.201e+00     2.684e+00     5.503e+04     2.051e+04     6.962e+04     2.594e+04
   167.234     6.376e+00     2.525e+00     4.876e+04     1.931e+04     6.137e+04     2.430e+04
   167.256     7.058e+00     2.657e+00     5.400e+04     2.033e+04     6.762e+04     2.545e+04
   167.279     6.144e+00     2.479e+00     4.705e+04     1.898e+04     5.861e+04     2.365e+04
   167.301     2.964e+00     1.721e+00     2.271e+04     1.319e+04     2.814e+04     1.635e+04
   167.323     5.068e+00     2.251e+00     3.887e+04     1.727e+04     4.792e+04     2.128e+04
   167.346     5.983e+00     2.446e+00     4.593e+04     1.878e+04     5.631e+04     2.302e+04
   167.368     7.840e+00     2.800e+00     6.023e+04     2.151e+04     7.346e+04     2.624e+04
   167.390     7.543e+00     2.746e+00     5.801e+04     2.112e+04     7.036e+04     2.562e+04
   167.412     8.054e+00     2.838e+00     6.199e+04     2.184e+04     7.479e+04     2.635e+04
   167.435     6.334e+00     2.517e+00     4.880e+04     1.939e+04     5.856e+04     2.327e+04
   167.457     6.056e+00     2.461e+00     4.670e+04     1.898e+04     5.573e+04     2.265e+04
   167.479     4.997e+00     2.235e+00     3.857e+04     1.725e+04     4.577e+04     2.048e+04
   167.502     5.346e+00     2.312e+00     4.131e+04     1.786e+04     4.875e+04     2.109e+04
   167.524     7.118e+00     2.668e+00     5.504e+04     2.063e+04     6.461e+04     2.422e+04
   167.546     7.750e+00     2.784e+00     5.998e+04     2.155e+04     7.003e+04     2.515e+04
   167.569     7.443e+00     2.728e+00     5.766e+04     2.114e+04     6.695e+04     2.454e+04
   167.591     5.793e+00     2.407e+00     4.491e+04     1.866e+04     5.186e+04     2.155e+04
   167.613     8.672e+00     2.945e+00     6.729e+04     2.285e+04     7.728e+04     2.624e+04
   167.636     5.844e+00     2.417e+00     4.538e+04     1.877e+04     5.184e+04     2.145e+04
   167.658     6.632e+00     2.575e+00     5.154e+04     2.001e+04     5.856e+04     2.274e+04
   167.680     7.198e+00     2.683e+00     5.598e+04     2.087e+04     6.326e+04     2.358e+04
   167.703     6.992e+00     2.644e+00     5.442e+04     2.058e+04     6.117e+04     2.313e+04
   167.725     5.861e+00     2.421e+00     4.565e+04     1.885e+04     5.104e+04     2.108e+04
   167.747     4.175e+00     2.043e+00     3.253e+04     1.592e+04     3.619e+04     1.771e+04
   167.770     8.797e+00     2.966e+00     6.858e+04     2.312e+04     7.590e+04     2.559e+04
   167.792     6.343e+00     2.519e+00     4.947e+04     1.964e+04     5.447e+04     2.163e+04
   167.814     5.925e+00     2.434e+00     4.622e+04     1.899e+04     5.064e+04     2.080e+04
   167.836     8.515e+00     2.918e+00     6.645e+04     2.277e+04     7.243e+04     2.482e+04
   167.859     6.741e+00     2.596e+00     5.262e+04     2.027e+04     5.707e+04     2.198e+04
   167.881     8.879e+00     2.980e+00     6.931e+04     2.326e+04     7.482e+04     2.511e+04
   167.903     5.825e+00     2.413e+00     4.547e+04     1.884e+04     4.885e+04     2.024e+04
   167.926     7.995e+00     2.828e+00     6.241e+04     2.207e+04     6.674e+04     2.360e+04
   167.948     4.789e+00     2.188e+00     3.737e+04     1.708e+04     3.978e+04     1.818e+04
   167.970     7.472e+00     2.733e+00     5.830e+04     2.133e+04     6.177e+04     2.260e+04
   167.993     5.254e+00     2.292e+00     4.098e+04     1.788e+04     4.323e+04     1.886e+04
   168.015     6.485e+00     2.547e+00     5.056e+04     1.986e+04     5.311e+04     2.085e+04
   168.037     6.397e+00     2.529e+00     4.987e+04     1.972e+04     5.214e+04     2.062e+04
   168.060     6.680e+00     2.585e+00     5.206e+04     2.014e+04     5.419e+04     2.097e+04
   168.082     6.151e+00     2.480e+00     4.792e+04     1.932e+04     4.966e+04     2.002e+04
   168.104     7.323e+00     2.706e+00     5.702e+04     2.107e+04     5.884e+04     2.174e+04
   168.127     7.235e+00     2.690e+00     5.632e+04     2.094e+04     5.786e+04     2.151e+04
   168.149     6.450e+00     2.540e+00     5.018e+04     1.976e+04     5.134e+04     2.021e+04
   168.171     7.931e+00     2.816e+00     6.166e+04     2.190e+04     6.282e+04     2.231e+04
   168.194     4.393e+00     2.096e+00     3.414e+04     1.629e+04     3.463e+04     1.652e+04
   168.216     9.526e+00     3.086e+00     7.397e+04     2.397e+04     7.474e+04     2.421e+04
   168.238     5.868e+00     2.422e+00     4.553e+04     1.879e+04     4.582e+04     1.891e+04
   168.260     6.930e+00     2.632e+00     5.371e+04     2.041e+04     5.384e+04     2.045e+04
   168.283     7.199e+00     2.683e+00     5.575e+04     2.078e+04     5.567e+04     2.075e+04
   168.305     6.473e+00     2.544e+00     5.008e+04     1.968e+04     4.981e+04     1.958e+04
   168.327     7.895e+00     2.810e+00     6.101e+04     2.171e+04     6.046e+04     2.152e+04
   168.350     6.292e+00     2.508e+00     4.856e+04     1.936e+04     4.795e+04     1.911e+04
   168.372     7.566e+00     2.751e+00     5.831e+04     2.120e+04     5.737e+04     2.086e+04
   168.394     7.180e+00     2.680e+00     5.526e+04     2.062e+04     5.418e+04     2.022e+04
   168.417     7.698e+00     2.775e+00     5.916e+04     2.132e+04     5.781e+04     2.084e+04
   168.439     5.556e+00     2.357e+00     4.263e+04     1.808e+04     4.152e+04     1.761e+04
   168.461     4.766e+00     2.183e+00     3.650e+04     1.672e+04     3.544e+04     1.623e+04
   168.484     7.846e+00     2.801e+00     5.998e+04     2.141e+04     5.805e+04     2.073e+04
   168.506     5.746e+00     2.397e+00     4.384e+04     1.829e+04     4.231e+04     1.765e+04
   168.528     7.255e+00     2.693e+00     5.524e+04     2.051e+04     5.315e+04     1.973e+04
   168.551     5.897e+00     2.428e+00     4.480e+04     1.845e+04     4.299e+04     1.770e+04
   168.573     1.139e+01     3.375e+00     8.635e+04     2.558e+04     8.264e+04     2.448e+04
   168.595     1.031e+01     3.211e+00     7.794e+04     2.428e+04     7.440e+04     2.317e+04
   168.617     5.312e+00     2.305e+00     4.006e+04     1.738e+04     3.815e+04     1.655e+04
   168.640     8.419e+00     2.902e+00     6.332e+04     2.182e+04     6.016e+04     2.073e+04
   168.662     5.357e+00     2.314e+00     4.018e+04     1.736e+04     3.809e+04     1.646e+04
   168.684     7.734e+00     2.781e+00     5.783e+04     2.080e+04     5.471e+04     1.967e+04
   168.707     7.264e+00     2.695e+00     5.415e+04     2.009e+04     5.113e+04     1.897e+04
   168.729     4.197e+00     2.049e+00     3.118e+04     1.522e+04     2.939e+04     1.435e+04
   168.751     8.462e+00     2.909e+00     6.266e+04     2.154e+04     5.896e+04     2.027e+04
   168.774     7.038e+00     2.653e+00     5.193e+04     1.957e+04     4.879e+04     1.839e+04
   168.796     6.088e+00     2.467e+00     4.475e+04     1.814e+04     4.199e+04     1.702e+04
   168.818     6.113e+00     2.472e+00     4.476e+04     1.810e+04     4.195e+04     1.697e+04
   168.841     6.179e+00     2.486e+00     4.506e+04     1.813e+04     4.218e+04     1.697e+04
   168.863     8.712e+00     2.952e+00     6.327e+04     2.143e+04     5.917e+04     2.005e+04
   168.885     6.801e+00     2.608e+00     4.917e+04     1.886e+04     4.595e+04     1.762e+04
   168.908     8.719e+00     2.953e+00     6.275e+04     2.125e+04     5.861e+04     1.985e+04
   168.930     7.045e+00     2.654e+00     5.047e+04     1.901e+04     4.711e+04     1.775e+04
   168.952     4.042e+00     2.011e+00     2.882e+04     1.433e+04     2.689e+04     1.338e+04
   168.975     6.591e+00     2.567e+00     4.675e+04     1.821e+04     4.362e+04     1.699e+04
   168.997     8.733e+00     2.955e+00     6.162e+04     2.085e+04     5.750e+04     1.946e+04
   169.019     8.769e+00     2.961e+00     6.141e+04     2.074e+04     5.744e+04     1.940e+04
   169.041     8.213e+00     2.866e+00     5.705e+04     1.991e+04     5.352e+04     1.868e+04
   169.064     6.491e+00     2.548e+00     4.471e+04     1.755e+04     4.208e+04     1.652e+04
   169.086     6.519e+00     2.553e+00     4.451e+04     1.743e+04     4.205e+04     1.647e+04
   169.108     5.020e+00     2.241e+00     3.397e+04     1.516e+04     3.221e+04     1.438e+04
   169.131     6.011e+00     2.452e+00     4.030e+04     1.644e+04     3.837e+04     1.565e+04
   169.153     6.111e+00     2.472e+00     4.059e+04     1.642e+04     3.881e+04     1.570e+04
   169.175     5.960e+00     2.441e+00     3.920e+04     1.606e+04     3.766e+04     1.542e+04
   169.198     8.428e+00     2.903e+00     5.489e+04     1.891e+04     5.297e+04     1.825e+04
   169.220     6.418e+00     2.533e+00     4.138e+04     1.634e+04     4.013e+04     1.584e+04
   169.242     7.370e+00     2.715e+00     4.704e+04     1.733e+04     4.584e+04     1.688e+04
   169.265     7.340e+00     2.709e+00     4.637e+04     1.712e+04     4.541e+04     1.676e+04
   169.287     7.896e+00     2.810e+00     4.937e+04     1.757e+04     4.860e+04     1.729e+04
   169.309     7.699e+00     2.775e+00     4.764e+04     1.717e+04     4.713e+04     1.699e+04
   169.332     6.341e+00     2.518e+00     3.882e+04     1.542e+04     3.861e+04     1.533e+04
   169.354     6.382e+00     2.526e+00     3.866e+04     1.531e+04     3.866e+04     1.530e+04
   169.376     8.627e+00     2.937e+00     5.172e+04     1.761e+04     5.198e+04     1.770e+04
   169.398     6.740e+00     2.596e+00     3.998e+04     1.540e+04     4.039e+04     1.556e+04
   169.421     9.146e+00     3.024e+00     5.370e+04     1.776e+04     5.453e+04     1.803e+04
   169.443     6.260e+00     2.502e+00     3.637e+04     1.454e+04     3.712e+04     1.484e+04
   169.465     5.129e+00     2.265e+00     2.949e+04     1.302e+04     3.025e+04     1.336e+04
   169.488     6.376e+00     2.525e+00     3.630e+04     1.437e+04     3.741e+04     1.481e+04
   169.510     4.588e+00     2.142e+00     2.586e+04     1.207e+04     2.677e+04     1.250e+04
   169.532     6.014e+00     2.452e+00     3.356e+04     1.368e+04     3.490e+04     1.423e+04
   169.555     6.342e+00     2.518e+00     3.505e+04     1.392e+04     3.661e+04     1.454e+04
   169.577     4.250e+00     2.061e+00     2.326e+04     1.128e+04     2.440e+04     1.184e+04
   169.599     7.212e+00     2.685e+00     3.911e+04     1.456e+04     4.118e+04     1.533e+04
   169.622     7.332e+00     2.708e+00     3.940e+04     1.455e+04     4.164e+04     1.538e+04
   169.644     7.047e+00     2.655e+00     3.754e+04     1.414e+04     3.980e+04     1.499e+04
   169.666     6.299e+00     2.510e+00     3.327e+04     1.326e+04     3.538e+04     1.410e+04
   169.689     5.618e+00     2.370e+00     2.943e+04     1.242e+04     3.138e+04     1.324e+04
   169.711     7.014e+00     2.648e+00     3.646e+04     1.377e+04     3.897e+04     1.472e+04
   169.733     4.433e+00     2.105e+00     2.287e+04     1.086e+04     2.449e+04     1.163e+04
   169.755     6.428e+00     2.535e+00     3.293e+04     1.299e+04     3.533e+04     1.393e+04
   169.778     8.447e+00     2.906e+00     4.299e+04     1.479e+04     4.616e+04     1.588e+04
   169.800     8.633e+00     2.938e+00     4.366e+04     1.486e+04     4.692e+04     1.597e+04
   169.822     7.266e+00     2.696e+00     3.654e+04     1.355e+04     3.927e+04     1.457e+04
   169.845     6.592e+00     2.567e+00     3.297e+04     1.284e+04     3.543e+04     1.380e+04
   169.867     2.009e+00     1.417e+00     1.000e+04     7.055e+03     1.074e+04     7.576e+03
   169.889     8.432e+00     2.904e+00     4.179e+04     1.439e+04     4.482e+04     1.543e+04
   169.912     8.528e+00     2.920e+00     4.211e+04     1.442e+04     4.507e+04     1.543e+04
   169.934     8.941e+00     2.990e+00     4.400e+04     1.472e+04     4.699e+04     1.571e+04
   169.956     8.075e+00     2.842e+00     3.964e+04     1.395e+04     4.220e+04     1.485e+04
   169.979     7.206e+00     2.684e+00     3.530e+04     1.315e+04     3.745e+04     1.395e+04
   170.001     7.367e+00     2.714e+00     3.605e+04     1.328e+04     3.807e+04     1.403e+04
   170.023     7.143e+00     2.673e+00     3.514e+04     1.315e+04     3.671e+04     1.373e+04
   170.046     6.133e+00     2.476e+00     3.034e+04     1.225e+04     3.134e+04     1.265e+04
   170.068     6.133e+00     2.477e+00     3.055e+04     1.234e+04     3.117e+04     1.258e+04
   170.090     7.586e+00     2.754e+00     3.807e+04     1.382e+04     3.833e+04     1.392e+04
   170.112     8.001e+00     2.829e+00     4.047e+04     1.431e+04     4.021e+04     1.421e+04
   170.135     7.370e+00     2.715e+00     3.761e+04     1.385e+04     3.683e+04     1.356e+04
   170.157     3.761e+00     1.939e+00     1.937e+04     9.989e+03     1.869e+04     9.636e+03
   170.179     7.611e+00     2.759e+00     3.959e+04     1.435e+04     3.760e+04     1.363e+04
   170.202     4.782e+00     2.187e+00     2.513e+04     1.149e+04     2.349e+04     1.074e+04
   170.224     5.053e+00     2.248e+00     2.684e+04     1.194e+04     2.468e+04     1.098e+04
   170.246     7.207e+00     2.685e+00     3.872e+04     1.442e+04     3.501e+04     1.304e+04
   170.269     6.623e+00     2.573e+00     3.599e+04     1.398e+04     3.198e+04     1.243e+04
   170.291     6.769e+00     2.602e+00     3.722e+04     1.431e+04     3.250e+04     1.249e+04
   170.313     6.916e+00     2.630e+00     3.849e+04     1.464e+04     3.302e+04     1.256e+04
   170.336     6.362e+00     2.522e+00     3.585e+04     1.421e+04     3.020e+04     1.197e+04
   170.358     5.259e+00     2.293e+00     3.000e+04     1.308e+04     2.482e+04     1.082e+04
   170.380     6.040e+00     2.458e+00     3.490e+04     1.420e+04     2.834e+04     1.153e+04
   170.403     6.843e+00     2.616e+00     4.004e+04     1.531e+04     3.192e+04     1.220e+04
   170.425     7.500e+00     2.739e+00     4.445e+04     1.623e+04     3.479e+04     1.270e+04
   170.447     5.625e+00     2.372e+00     3.377e+04     1.424e+04     2.594e+04     1.094e+04
   170.469     5.656e+00     2.378e+00     3.438e+04     1.446e+04     2.593e+04     1.090e+04
   170.492     8.202e+00     2.864e+00     5.050e+04     1.763e+04     3.739e+04     1.305e+04
   170.514     1.380e+00     1.175e+00     8.604e+03     7.324e+03     6.254e+03     5.324e+03
   170.536     9.033e+00     3.005e+00     5.701e+04     1.897e+04     4.069e+04     1.354e+04
   170.559     9.292e+00     3.048e+00     5.936e+04     1.947e+04     4.162e+04     1.365e+04
   170.581     5.865e+00     2.422e+00     3.791e+04     1.565e+04     2.612e+04     1.078e+04
   170.603     6.188e+00     2.488e+00     4.045e+04     1.626e+04     2.739e+04     1.101e+04
   170.626     7.792e+00     2.792e+00     5.151e+04     1.845e+04     3.429e+04     1.228e+04
   170.648     7.895e+00     2.810e+00     5.274e+04     1.877e+04     3.453e+04     1.229e+04
   170.670     5.243e+00     2.290e+00     3.539e+04     1.546e+04     2.280e+04     9.957e+03
   170.693     5.832e+00     2.415e+00     3.975e+04     1.646e+04     2.521e+04     1.044e+04
   170.715     8.967e+00     2.994e+00     6.167e+04     2.060e+04     3.853e+04     1.287e+04
   170.737     5.941e+00     2.437e+00     4.121e+04     1.691e+04     2.537e+04     1.041e+04
   170.760     8.914e+00     2.986e+00     6.233e+04     2.088e+04     3.784e+04     1.268e+04
   170.782     8.807e+00     2.968e+00     6.203e+04     2.090e+04     3.717e+04     1.252e+04
   170.804     4.914e+00     2.217e+00     3.483e+04     1.571e+04     2.061e+04     9.299e+03
   170.826     8.902e+00     2.984e+00     6.347e+04     2.127e+04     3.712e+04     1.244e+04
   170.849     7.565e+00     2.750e+00     5.420e+04     1.971e+04     3.135e+04     1.140e+04
   170.871     5.807e+00     2.410e+00     4.177e+04     1.734e+04     2.392e+04     9.926e+03
   170.893     5.501e+00     2.345e+00     3.970e+04     1.693e+04     2.252e+04     9.603e+03
   170.916     8.620e+00     2.936e+00     6.235e+04     2.123e+04     3.508e+04     1.195e+04
   170.938     6.883e+00     2.624e+00     4.984e+04     1.900e+04     2.784e+04     1.061e+04
   170.960     6.372e+00     2.524e+00     4.614e+04     1.828e+04     2.562e+04     1.015e+04
   170.983     8.259e+00     2.874e+00     5.976e+04     2.079e+04     3.300e+04     1.148e+04
   171.005     7.778e+00     2.789e+00     5.609e+04     2.011e+04     3.089e+04     1.107e+04
   171.027     1.838e+01     4.287e+00     1.315e+05     3.066e+04     7.256e+04     1.692e+04
   171.050     2.506e+01     5.006e+00     1.776e+05     3.547e+04     9.833e+04     1.964e+04
   171.072     2.213e+01     4.704e+00     1.552e+05     3.299e+04     8.630e+04     1.834e+04
   171.094     1.534e+01     3.916e+00     1.064e+05     2.716e+04     5.944e+04     1.518e+04
   171.117     1.056e+01     3.250e+00     7.233e+04     2.226e+04     4.068e+04     1.252e+04
   171.139     8.327e+00     2.886e+00     5.629e+04     1.951e+04     3.188e+04     1.105e+04
   171.161     8.595e+00     2.932e+00     5.730e+04     1.954e+04     3.271e+04     1.116e+04
   171.183     8.893e+00     2.982e+00     5.841e+04     1.959e+04     3.363e+04     1.128e+04
   171.206     7.510e+00     2.741e+00     4.856e+04     1.772e+04     2.823e+04     1.030e+04
   171.228     7.346e+00     2.710e+00     4.672e+04     1.724e+04     2.744e+04     1.012e+04
   171.250     6.058e+00     2.461e+00     3.788e+04     1.539e+04     2.249e+04     9.137e+03
   171.273     6.864e+00     2.620e+00     4.216e+04     1.609e+04     2.532e+04     9.666e+03
   171.295     6.431e+00     2.536e+00     3.878e+04     1.529e+04     2.358e+04     9.298e+03
   171.317     9.998e+00     3.162e+00     5.915e+04     1.871e+04     3.643e+04     1.152e+04
   171.340     8.756e+00     2.959e+00     5.080e+04     1.717e+04     3.170e+04     1.071e+04
   171.362     8.416e+00     2.901e+00     4.785e+04     1.649e+04     3.028e+04     1.044e+04
   171.384     5.216e+00     2.284e+00     2.905e+04     1.272e+04     1.865e+04     8.166e+03
   171.407     6.442e+00     2.538e+00     3.512e+04     1.384e+04     2.289e+04     9.019e+03
   171.429     8.278e+00     2.877e+00     4.417e+04     1.535e+04     2.923e+04     1.016e+04
   171.451     9.262e+00     3.043e+00     4.835e+04     1.589e+04     3.250e+04     1.068e+04
   171.474     6.682e+00     2.585e+00     3.411e+04     1.319e+04     2.330e+04     9.013e+03
   171.496     6.516e+00     2.553e+00     3.251e+04     1.274e+04     2.257e+04     8.844e+03
   171.518     5.714e+00     2.390e+00     2.786e+04     1.166e+04     1.967e+04     8.229e+03
   171.540     7.833e+00     2.799e+00     3.732e+04     1.333e+04     2.680e+04     9.574e+03
   171.563     6.310e+00     2.512e+00     2.936e+04     1.169e+04     2.145e+04     8.538e+03
   171.585     7.150e+00     2.674e+00     3.249e+04     1.215e+04     2.415e+04     9.031e+03
   171.607     7.842e+00     2.800e+00     3.480e+04     1.243e+04     2.631e+04     9.397e+03
   171.630     7.409e+00     2.722e+00     3.210e+04     1.179e+04     2.470e+04     9.075e+03
   171.652     8.081e+00     2.843e+00     3.418e+04     1.202e+04     2.677e+04     9.417e+03
   171.674     6.412e+00     2.532e+00     2.648e+04     1.046e+04     2.110e+04     8.334e+03
   171.697     8.925e+00     2.988e+00     3.598e+04     1.204e+04     2.919e+04     9.769e+03
   171.719     5.285e+00     2.299e+00     2.080e+04     9.047e+03     1.717e+04     7.469e+03
   171.741     6.237e+00     2.497e+00     2.396e+04     9.595e+03     2.013e+04     8.061e+03
   171.764     5.995e+00     2.448e+00     2.249e+04     9.184e+03     1.922e+04     7.852e+03
   171.786     8.215e+00     2.866e+00     3.009e+04     1.050e+04     2.617e+04     9.131e+03
   171.808     1.281e+01     3.579e+00     4.582e+04     1.280e+04     4.054e+04     1.133e+04
   171.830     9.178e+00     3.030e+00     3.208e+04     1.059e+04     2.886e+04     9.526e+03
   171.853     1.034e+01     3.215e+00     3.530e+04     1.098e+04     3.229e+04     1.004e+04
   171.875     7.557e+00     2.749e+00     2.522e+04     9.175e+03     2.345e+04     8.531e+03
   171.897     7.564e+00     2.750e+00     2.468e+04     8.974e+03     2.332e+04     8.478e+03
   171.920     9.159e+00     3.026e+00     2.923e+04     9.658e+03     2.805e+04     9.268e+03
   171.942     7.562e+00     2.750e+00     2.361e+04     8.586e+03     2.300e+04     8.365e+03
   171.964     8.698e+00     2.949e+00     2.658e+04     9.013e+03     2.628e+04     8.912e+03
   171.987     8.443e+00     2.906e+00     2.527e+04     8.696e+03     2.534e+04     8.722e+03
   172.009     9.746e+00     3.122e+00     2.861e+04     9.165e+03     2.906e+04     9.309e+03
   172.031     7.415e+00     2.723e+00     2.140e+04     7.860e+03     2.197e+04     8.066e+03
   172.054     7.556e+00     2.749e+00     2.145e+04     7.803e+03     2.223e+04     8.089e+03
   172.076     8.827e+00     2.971e+00     2.464e+04     8.295e+03     2.580e+04     8.685e+03
   172.098     6.514e+00     2.552e+00     1.789e+04     7.010e+03     1.892e+04     7.411e+03
   172.121     7.833e+00     2.799e+00     2.117e+04     7.564e+03     2.260e+04     8.073e+03
   172.143     8.429e+00     2.903e+00     2.242e+04     7.721e+03     2.415e+04     8.319e+03
   172.165     6.615e+00     2.572e+00     1.732e+04     6.733e+03     1.883e+04     7.321e+03
   172.187     9.260e+00     3.043e+00     2.387e+04     7.843e+03     2.618e+04     8.604e+03
   172.210     7.339e+00     2.709e+00     1.863e+04     6.875e+03     2.061e+04     7.608e+03
   172.232     8.129e+00     2.851e+00     2.032e+04     7.126e+03     2.268e+04     7.953e+03
   172.254     7.775e+00     2.788e+00     1.914e+04     6.865e+03     2.154e+04     7.726e+03
   172.277     1.136e+01     3.370e+00     2.755e+04     8.175e+03     3.126e+04     9.275e+03
   172.299     6.439e+00     2.538e+00     1.539e+04     6.066e+03     1.760e+04     6.936e+03
   172.321     8.191e+00     2.862e+00     1.930e+04     6.743e+03     2.224e+04     7.770e+03
   172.344     4.419e+00     2.102e+00     1.026e+04     4.883e+03     1.192e+04     5.669e+03
   172.366     7.766e+00     2.787e+00     1.779e+04     6.382e+03     2.080e+04     7.464e+03
   172.388     5.173e+00     2.274e+00     1.168e+04     5.137e+03     1.376e+04     6.050e+03
   172.411     7.571e+00     2.752e+00     1.687e+04     6.129e+03     2.000e+04     7.269e+03
   172.433     7.997e+00     2.828e+00     1.757e+04     6.215e+03     2.098e+04     7.419e+03
   172.455     6.855e+00     2.618e+00     1.487e+04     5.678e+03     1.786e+04     6.822e+03
   172.477     7.063e+00     2.658e+00     1.512e+04     5.688e+03     1.828e+04     6.877e+03
   172.500     6.862e+00     2.620e+00     1.450e+04     5.534e+03     1.763e+04     6.732e+03
   172.522     4.818e+00     2.195e+00     1.005e+04     4.579e+03     1.230e+04     5.602e+03
   172.544     8.235e+00     2.870e+00     1.696e+04     5.911e+03     2.087e+04     7.273e+03
   172.567     6.783e+00     2.604e+00     1.380e+04     5.299e+03     1.707e+04     6.555e+03
   172.589     6.258e+00     2.502e+00     1.258e+04     5.028e+03     1.564e+04     6.253e+03
   172.611     8.026e+00     2.833e+00     1.594e+04     5.626e+03     1.992e+04     7.031e+03
   172.634     8.279e+00     2.877e+00     1.625e+04     5.647e+03     2.040e+04     7.091e+03
   172.656     6.452e+00     2.540e+00     1.252e+04     4.927e+03     1.579e+04     6.216e+03
   172.678     6.711e+00     2.591e+00     1.287e+04     4.968e+03     1.631e+04     6.295e+03
   172.701     6.147e+00     2.479e+00     1.166e+04     4.702e+03     1.483e+04     5.983e+03
   172.723     8.181e+00     2.860e+00     1.534e+04     5.365e+03     1.960e+04     6.853e+03
   172.745     6.777e+00     2.603e+00     1.257e+04     4.830e+03     1.612e+04     6.193e+03
